Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
5.036489125000000,26781,DATA,0x090,0x2,0x66 0xCC,0x1021,ACK
5.036554375000000,26782,DATA,0x108,0x8,0xE9 0x03 0xE9 0x03 0x00 0x00 0x00 0x00,0x4FEE,ACK
5.036676625000000,26783,DATA,0x108,0x8,0x38 0x04 0x00 0x00 0x00 0x00 0x33 0x02,0x18CC,ACK
5.036807875000000,26784,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0xF3 0x8F,0x1ECC,ACK
5.036930125000000,26785,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.037055250000000,26786,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.037189500000000,26787,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x3F 0x01 0x00 0x00,0x1E9A,ACK
5.037313750000000,26788,DATA,0x108,0x8,0xB6 0x75 0x46 0x40 0xE4 0x83 0xB9 0x41,0x208B,ACK
5.037430000000000,26789,DATA,0x108,0x8,0x00 0x40 0x0D 0xC4 0x06 0x00 0x00 0x00,0x71C6,ACK
5.037561250000000,26790,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x6C70,ACK
5.037686500000000,26791,DATA,0x108,0x8,0x00 0x00 0x00 0x00 0x27 0xFE 0x00 0x00,0x6DD5,ACK
5.037810750000000,26792,DATA,0x108,0x8,0x5F 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x47B3,ACK
5.037941875000000,26793,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.038058125000000,26794,DATA,0x090,0x8,0xEC 0xFF 0xFF 0xFF 0x2D 0x00 0x00 0x00,0x078C,ACK
5.038179375000000,26795,DATA,0x090,0x8,0x3B 0x00 0x00 0x00 0xF3 0x0E 0x66 0xCC,0x5741,ACK
5.038303625000000,26796,DATA,0x090,0x2,0x66 0xCC,0x1021,ACK
5.038368875000000,26797,DATA,0x108,0x8,0x93 0x30 0x33 0x10 0x30 0x10 0x30 0x10,0x70CE,ACK
5.038486000000000,26798,DATA,0x108,0x8,0x89 0x30 0x0B 0xA5 0x74 0x43 0xB0 0x57,0x3906,ACK
